year,meat_Groups,veg_Group,fruit_Group,grain_Group,diary_Groups,sugar_Group,fat_Group,,
1970,7.06,1.49,0.72 ,4.15,1.53,44.33,346.1,,
1971,7.18,1.52,0.73 ,4.09,1.54,44.81,341.9,,
1972,7.14,1.49,0.69 ,4.04,1.53,45.48,353.2,,
1973,6.73,1.53,0.72 ,4.16,1.53,45.96,356.9,,
1974,6.96,1.47,0.72 ,4.12,1.48,44.78,349.1,,
1975,6.77,1.51,0.77 ,4.22,1.46,43.76,350.5,,
1976,7.09,1.52,0.76 ,4.36,1.48,46.19,367.5,,
1977,7.05,1.52,0.77 ,4.24,1.47,47.55,353.1,,
1978,6.99,1.46,0.77 ,4.33,1.47,47.25,363.8,,
1979,6.98,1.5,0.77 ,4.38,1.46,48.27,371.5,,
1980,6.97,1.49,0.81 ,4.44,1.44,48.06,372.3,,
1981,6.99,1.48,0.77 ,4.44,1.42,48.57,370.4,,
1982,6.85,1.53,0.79 ,4.43,1.44,48.47,372.1,,
1983,7.01,1.52,0.85 ,4.45,1.46,49.88,387.1,,
1984,7.08,1.55,0.82 ,4.55,1.49,51.81,401.6,,
1985,7.19,1.6,0.82 ,4.83,1.52,54.79,424.1,,
1986,7.16,1.6,0.85 ,4.97,1.53,54.27,431.2,,
1987,7.14,1.6,0.90 ,5.2,1.55,56.25,426.8,,
1988,7.2,1.65,0.88 ,5.32,1.53,57.02,432.9,,
1989,7.1,1.65,0.90 ,5.27,1.52,55.97,412.7,,
1990,7.03,1.68,0.83 ,5.47,1.54,57.72,411.5,,
1991,7.07,1.73,0.84 ,5.49,1.53,58.05,419.5,,
1992,7.2,1.74,0.88 ,5.57,1.55,59.79,432.9,,
1993,7.18,1.77,0.91 ,5.73,1.51,61.49,452.8,,
1994,7.27,1.79,0.91 ,5.78,1.55,62.78,442.5,,
1995,7.24,1.76,0.87 ,5.73,1.54,63.87,433.7,,
1996,7.19,1.81,0.90 ,5.95,1.54,64.88,423.6,,
1997,7.16,1.8,0.90 ,5.96,1.52,66.55,426.8,,
1998,7.36,1.77,0.92 ,5.89,1.51,67.37,425.5,,
1999,7.59,1.81,0.93 ,5.94,1.52,68.18,443.7,,
2000,7.57,1.83,0.90 ,6.03,1.52,66.99,545.3,,
2001,7.49,1.8,0.88 ,5.9,1.52,66.12,556.7,,
2002,7.73,1.77,0.87 ,5.78,1.52,65.92,587.8,,
2003,7.71,1.81,0.89 ,5.81,1.51,63.96,587.0,,
2004,7.81,1.8,0.89 ,5.76,1.54,63.92,586.4,,
2005,7.73,1.74,0.87 ,5.77,1.53,63.96,586.0,,
2006,7.76,1.76,0.87 ,5.85,1.52,62.5,585.1,,
2007,7.73,1.73,0.86 ,5.94,1.53,60.68,584.1,,
2008,7.54,1.67,0.84 ,5.92,1.52,60.1,593.7,,
2009,7.41,1.64,0.83 ,5.85,1.54,57.88,550.7,,
2010,7.37,1.7,0.83 ,5.86,1.53,58.11,575.1,,
2011,7.2,1.62,0.80 ,5.29,1.52,56.83,,,
2012,7.16,1.67,0.83 ,5.34,1.52,56.66,,,
2013,7.2,1.65,0.87 ,5.36,1.49,55.89,,,
2014,7.2,1.66,0.87 ,5.35,1.48,56.29,,,
,,,,,,,,,
