year	dairy_Groups	dairy_high	dairy_low
1970	1.53	3	2
1971	1.54	3	2
1972	1.53	3	2
1973	1.53	3	2
1974	1.48	3	2
1975	1.46	3	2
1976	1.48	3	2
1977	1.47	3	2
1978	1.47	3	2
1979	1.46	3	2
1980	1.44	3	2
1981	1.42	3	2
1982	1.44	3	2
1983	1.46	3	2
1984	1.49	3	2
1985	1.52	3	2
1986	1.53	3	2
1987	1.55	3	2
1988	1.53	3	2
1989	1.52	3	2
1990	1.54	3	2
1991	1.53	3	2
1992	1.55	3	2
1993	1.51	3	2
1994	1.55	3	2
1995	1.54	3	2
1996	1.54	3	2
1997	1.52	3	2
1998	1.51	3	2
1999	1.52	3	2
2000	1.52	3	2
2001	1.52	3	2
2002	1.52	3	2
2003	1.51	3	2
2004	1.54	3	2
2005	1.53	3	2
2006	1.52	3	2
2007	1.53	3	2
2008	1.52	3	2
2009	1.54	3	2
2010	1.53	3	2
