year	fat_Fat Group	fat_high	fat_low
1970	346.1	0	0
1971	341.9	0	0
1972	353.2	0	0
1973	356.9	0	0
1974	349.1	0	0
1975	350.5	0	0
1976	367.5	0	0
1977	353.1	0	0
1978	363.8	0	0
1979	371.5	0	0
1980	372.3	0	0
1981	370.4	0	0
1982	372.1	0	0
1983	387.1	0	0
1984	401.6	0	0
1985	424.1	0	0
1986	431.2	0	0
1987	426.8	0	0
1988	432.9	0	0
1989	412.7	0	0
1990	411.5	0	0
1991	419.5	0	0
1992	432.9	0	0
1993	452.8	0	0
1994	442.5	0	0
1995	433.7	0	0
1996	423.6	0	0
1997	426.8	0	0
1998	425.5	0	0
1999	443.7	0	0
2000	545.3	0	0
2001	556.7	0	0
2002	587.8	0	0
2003	587	0	0
2004	586.4	0	0
2005	586	700	400
2006	585.1	700	400
2007	584.1	700	400
2008	593.7	700	400
2009	550.7	700	400
2010	575.1	700	400
