year	grain_grainGroup	grain_high	grain_low
1970	4.15	11	6
1971	4.09	11	6
1972	4.04	11	6
1973	4.16	11	6
1974	4.12	11	6
1975	4.22	11	6
1976	4.36	11	6
1977	4.24	11	6
1978	4.33	11	6
1979	4.38	11	6
1980	4.44	11	6
1981	4.44	11	6
1982	4.43	11	6
1983	4.45	11	6
1984	4.55	11	6
1985	4.83	11	6
1986	4.97	11	6
1987	5.2	11	6
1988	5.32	11	6
1989	5.27	11	6
1990	5.47	11	6
1991	5.49	11	6
1992	5.57	11	6
1993	5.73	11	6
1994	5.78	11	6
1995	5.73	11	6
1996	5.95	11	6
1997	5.96	11	6
1998	5.89	11	6
1999	5.94	11	6
2000	6.03	11	6
2001	5.9	11	6
2002	5.78	11	6
2003	5.81	11	6
2004	5.76	11	6
2005	5.77	8	7
2006	5.85	8	7
2007	5.94	8	7
2008	5.92	8	7
2009	5.85	8	7
2010	5.86	8	7
