year	fruit_Fruit Groups	fruit_high	fruit_low
1970	0.72	2	1
1971	0.73	2	1
1972	0.69	2	1
1973	0.72	2	1
1974	0.72	2	1
1975	0.77	2	1
1976	0.76	2	1
1977	0.77	2	1
1978	0.77	2	1
1979	0.77	2	1
1980	0.81	2	1
1981	0.77	2	1
1982	0.79	2	1
1983	0.85	2	1
1984	0.82	2	1
1985	0.82	2	1
1986	0.85	2	1
1987	0.9	2	1
1988	0.88	2	1
1989	0.9	2	1
1990	0.83	2	1
1991	0.84	2	1
1992	0.88	2	1
1993	0.91	2	1
1994	0.91	2	1
1995	0.87	2	1
1996	0.9	2	1
1997	0.9	2	1
1998	0.92	2	1
1999	0.93	2	1
2000	0.9	2	1
2001	0.88	2	1
2002	0.87	2	1
2003	0.89	2	1
2004	0.89	2	1
2005	0.87	2.5	2
2006	0.87	2.5	2
2007	0.86	2.5	2
2008	0.84	2.5	2
2009	0.83	2.5	2
2010	0.83	2.5	2
