year	meat_MeatGroups	meat_high	meat_low
1970	7.06	9	6
1971	7.18	9	6
1972	7.14	9	6
1973	6.73	9	6
1974	6.96	9	6
1975	6.77	9	6
1976	7.09	9	6
1977	7.05	9	6
1978	6.99	9	6
1979	6.98	9	6
1980	6.97	9	6
1981	6.99	9	6
1982	6.85	9	6
1983	7.01	9	6
1984	7.08	9	6
1985	7.19	9	6
1986	7.16	9	6
1987	7.14	9	6
1988	7.2	9	6
1989	7.1	9	6
1990	7.03	9	6
1991	7.07	9	6
1992	7.2	9	6
1993	7.18	9	6
1994	7.27	9	6
1995	7.24	9	6
1996	7.19	9	6
1997	7.16	9	6
1998	7.36	9	6
1999	7.59	9	6
2000	7.57	9	6
2001	7.49	9	6
2002	7.73	9	6
2003	7.71	9	6
2004	7.81	9	6
2005	7.73	6	0
2006	7.76	6	0
2007	7.73	6	0
2008	7.54	6	0
2009	7.41	6	0
2010	7.37	6	0
