year	sugar_Sugar Group	sugar_high	sugar_low
1970	44.33	8	0
1971	44.81	8	0
1972	45.48	8	0
1973	45.96	8	0
1974	44.78	8	0
1975	43.76	8	0
1976	46.19	8	0
1977	47.55	8	0
1978	47.25	8	0
1979	48.27	8	0
1980	48.06	8	0
1981	48.57	8	0
1982	48.47	8	0
1983	49.88	8	0
1984	51.81	8	0
1985	54.79	8	0
1986	54.27	8	0
1987	56.25	8	0
1988	57.02	8	0
1989	55.97	8	0
1990	57.72	8	0
1991	58.05	8	0
1992	59.79	8	0
1993	61.49	8	0
1994	62.78	8	0
1995	63.87	8	0
1996	64.88	8	0
1997	66.55	8	0
1998	67.37	8	0
1999	68.18	8	0
2000	66.99	8	0
2001	66.12	8	0
2002	65.92	8	0
2003	63.96	8	0
2004	63.92	8	0
2005	63.96	8	0
2006	62.5	8	0
2007	60.68	8	0
2008	60.1	8	0
2009	57.88	8	0
2010	58.11	8	0
