year	veg_Veg Groups	veg_high	veg_low
1970	1.49	2.5	1.5
1971	1.52	2.5	1.5
1972	1.49	2.5	1.5
1973	1.53	2.5	1.5
1974	1.47	2.5	1.5
1975	1.51	2.5	1.5
1976	1.52	2.5	1.5
1977	1.52	2.5	1.5
1978	1.46	2.5	1.5
1979	1.5	2.5	1.5
1980	1.49	2.5	1.5
1981	1.48	2.5	1.5
1982	1.53	2.5	1.5
1983	1.52	2.5	1.5
1984	1.55	2.5	1.5
1985	1.6	2.5	1.5
1986	1.6	2.5	1.5
1987	1.6	2.5	1.5
1988	1.65	2.5	1.5
1989	1.65	2.5	1.5
1990	1.68	2.5	1.5
1991	1.73	2.5	1.5
1992	1.74	2.5	1.5
1993	1.77	2.5	1.5
1994	1.79	2.5	1.5
1995	1.76	2.5	1.5
1996	1.81	2.5	1.5
1997	1.8	2.5	1.5
1998	1.77	2.5	1.5
1999	1.81	2.5	1.5
2000	1.83	2.5	1.5
2001	1.8	2.5	1.5
2002	1.77	2.5	1.5
2003	1.81	2.5	1.5
2004	1.8	2.5	1.5
2005	1.74	2.5	2
2006	1.76	2.5	2
2007	1.73	2.5	2
2008	1.67	2.5	2
2009	1.64	2.5	2
2010	1.7	2.5	2
